Store,Transaction_ID,Customer_ID,Product_name,Product_Quality,Total_Sales
1,573,345,Smiths Crinkle Cut  Tomato Salsa 150g,1.2286212914485166,2393.6
2,506,313,Natural ChipCo Sea  Salt & Vinegr 175g,1.1146245059288538,2005.8
3,1502,364,Kettle Tortilla ChpsBtroot&Ricotta 150g,1.940745672436751,12802.45
4,1678,379,Grain Waves         Sweet Chilli 210g,1.9761620977353993,14647.65
5,1361,238,CCs Original 175g,1.9867744305657604,9500.8
6,530,328,Thins Potato Chips  Hot & Spicy 175g,1.4490566037735848,2684.9
7,1482,379,Pringles Chicken    Salt Crips 134g,1.9041835357624832,12486.9
8,520,283,Tyrrells Crisps     Ched & Chives 165g,1.9634615384615384,4499.2
9,659,365,Tyrrells Crisps     Lightly Salted 165g,1.7693474962063733,4012.4
10,1467,251,Natural ChipCo Sea  Salt & Vinegr 175g,1.989093387866394,10302.3
11,2,2,Smiths Crinkle Cut  Chips Chs&Onion170g,1.0,6.699999999999999
12,573,301,Pringles Original   Crisps 134g,1.9773123909249564,5009.9
13,1564,248,Doritos Salsa       Medium 300g,1.9852941176470589,10686.5
14,66,62,Smiths Chip Thinly  S/Cream&Onion 175g,1.8181818181818181,410.7
15,1377,238,Doritos Salsa Mild  300g,1.9803921568627452,9486.05
16,442,293,CCs Tasty Cheese    175g,1.0339366515837105,1632.1
17,553,294,Twisties Chicken270g,1.9005424954792043,4636.6
18,581,337,Smiths Thinly       Swt Chli&S/Cream175G,1.5731497418244407,3269.7
19,1153,341,Pringles Chicken    Salt Crips 134g,1.7510841283607979,8972.9
20,559,345,Thins Chips Salt &  Vinegar 175g,1.298747763864043,2519.25
21,600,296,Kettle Honey Soy    Chicken 175g,1.9633333333333334,5154.9
22,582,337,French Fries Potato Chips 175g,1.831615120274914,3689.4
23,1490,254,RRD Steak &         Chimuchurri 150g,1.9805369127516779,10305.8
24,1348,234,Kettle Tortilla ChpsHny&Jlpno Chili 150g,1.9873887240356083,9230.0
25,601,304,Tostitos Lightly    Salted 175g,1.9866888519134775,5297.65
26,1640,377,Pringles Sthrn FriedChicken 134g,1.9853658536585366,14469.3
27,588,319,Thins Chips Light&  Tangy 175g,1.9489795918367347,5120.7
28,1357,233,Tyrrells Crisps     Lightly Salted 165g,1.9823139277818718,9374.35
29,551,297,Kettle Mozzarella   Basil & Pesto 175g,1.938294010889292,4697.5
30,1471,237,RRD Steak &         Chimuchurri 150g,1.9898028552005438,10359.5
31,2,2,Smiths Chip Thinly  S/Cream&Onion 175g,2.0,14.8
32,1436,234,Smiths Crinkle Cut  Chips Barbecue 170g,1.9846796657381616,9983.5
33,1596,256,Thins Chips Light&  Tangy 175g,1.9849624060150375,11164.0
34,512,270,Tostitos Lightly    Salted 175g,1.884765625,4266.2
35,424,283,Burger Rings 220g,1.0683962264150944,1608.9
36,1384,358,Doritos Corn Chips  Original 170g,1.9797687861271676,12098.25
37,549,293,Kettle Original 175g,1.9562841530054644,4728.45
38,577,336,Thins Potato Chips  Hot & Spicy 175g,1.5632582322357018,3150.4
39,1491,241,Pringles Barbeque   134g,1.987927565392354,10182.05
40,1764,388,Twisties Cheese     Burger 250g,1.9835600907029478,15559.5
41,567,344,RRD Sweet Chilli &  Sour Cream 165g,1.2751322751322751,2570.2
42,64,60,Kettle Chilli 175g,1.1875,257.8
43,1771,251,Smiths Chip Thinly  S/Cream&Onion 175g,1.9870129870129871,12384.55
44,58,55,Cheezels Cheese Box 125g,1.6379310344827587,336.2
45,1377,253,Pringles Original   Crisps 134g,1.973856209150327,9508.5
46,535,317,Burger Rings 220g,1.639252336448598,3023.45
47,672,372,RRD Sweet Chilli &  Sour Cream 165g,1.9077380952380953,4507.95
48,1475,244,Doritos Salsa       Medium 300g,1.9823728813559323,10213.4
49,1525,383,Twisties Chicken270g,1.9777049180327868,13287.7
50,578,356,Smiths Thinly Cut   Roast Chicken 175g,1.480968858131488,3009.8
51,478,298,Sunbites Whlegrn    Crisps Frch/Onin 90g,1.1799163179916319,2005.5
52,75,69,Doritos Corn Chip Mexican Jalapeno 150g,1.7466666666666666,465.3
53,530,329,Smiths Thinly Cut   Roast Chicken 175g,1.4660377358490566,2715.05
54,615,303,Tostitos Smoked     Chipotle 175g,1.9772357723577236,5370.85
55,1557,257,Doritos Corn Chips  Original 170g,1.9826589595375723,10760.15
56,1220,238,Doritos Corn Chip Mexican Jalapeno 150g,1.9852459016393442,8393.05
57,1536,263,Red Rock Deli SR    Salsa & Mzzrlla 150g,1.982421875,10532.3
58,1743,393,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1.9868043602983363,15251.45
59,1498,367,Doritos Corn Chips  Nacho Cheese 170g,1.97196261682243,12952.35
60,1496,353,Thins Chips Light&  Tangy 175g,1.9719251336898396,12927.7
61,88,78,CCs Nacho Cheese    175g,1.9204545454545454,562.9
62,1527,257,Kettle Mozzarella   Basil & Pesto 175g,1.9882121807465618,10583.1
63,1742,257,Tostitos Smoked     Chipotle 175g,1.9856486796785304,12085.0
